Number_in_Series,Trilogy_Grouping,Title,Rating
2/3,06d49632c9dc9bcb62aeaef99612ba6b,The Lord of the Rings: The Two Towers,8.7
1/3,06d49632c9dc9bcb62aeaef99612ba6b,The Lord of the Rings: The Fellowship of the Ring,8.8
3/3,06d49632c9dc9bcb62aeaef99612ba6b,The Lord of the Rings: The Return of the King,8.9
3/3,08985faab9f27113eef8adfc2200ac27,Babel,7.4
2/3,08985faab9f27113eef8adfc2200ac27,21 Grams,7.6
1/3,08985faab9f27113eef8adfc2200ac27,Love's a Bitch,8.1
1/9,13a893bc3f0877d224af0d73de3f0359,Star Wars: Episode I - The Phantom Menace,6.5
2/9,13a893bc3f0877d224af0d73de3f0359,Star Wars: Episode II - Attack of the Clones,6.5
3/9,13a893bc3f0877d224af0d73de3f0359,Star Wars: Episode III - Revenge of the Sith,7.5
3/3,161b0061457968be63e99de104b79892,Spider-Man 3,6.2
1/3,161b0061457968be63e99de104b79892,Spider-Man,7.3
2/3,161b0061457968be63e99de104b79892,Spider-Man 2,7.3
3/4,209104330778fc9558cd63c51f6205d5,Mad Max Beyond Thunderdome,6.3
1/4,209104330778fc9558cd63c51f6205d5,Mad Max,6.9
2/4,209104330778fc9558cd63c51f6205d5,Mad Max 2,7.6
6/9,309fc7d3bc53bb63ac42e359260ac740,Star Wars: Return of the Jedi,8.3
4/9,309fc7d3bc53bb63ac42e359260ac740,Star Wars: Episode IV - A New Hope,8.6
5/9,309fc7d3bc53bb63ac42e359260ac740,Star Wars: Episode V - The Empire Strikes Back,8.7
3/3,34f1bcfc647cfa2931f5b1e78d8011d2,Before Midnight,7.9
1/3,34f1bcfc647cfa2931f5b1e78d8011d2,Before Sunrise,8.1
2/3,34f1bcfc647cfa2931f5b1e78d8011d2,Before Sunset,8.1
1/3,4a6c252c118bb7c69d8ea2a3022429e8,Captain America: The First Avenger,6.9
2/3,4a6c252c118bb7c69d8ea2a3022429e8,Captain America: The Winter Soldier,7.7
3/3,4a6c252c118bb7c69d8ea2a3022429e8,Captain America: Civil War,7.8
2/4,5b78583b25bb5e0c17412e0c18177954,Men in Black II,6.2
3/4,5b78583b25bb5e0c17412e0c18177954,Men in Black 3,6.8
1/4,5b78583b25bb5e0c17412e0c18177954,Men in Black,7.3
3/3,5b9a02dc8c23ddbd9b7c6ff35ce013c6,Once Upon a Time in Mexico,6.4
1/3,5b9a02dc8c23ddbd9b7c6ff35ce013c6,El mariachi,6.9
2/3,5b9a02dc8c23ddbd9b7c6ff35ce013c6,Desperado,7.2
3/3,67ae81acd95388b4876c74c7725f1a3b,Back to the Future Part III,7.4
