Sales_Date,Product,Price,Quantity_Sold
11/1/2021,Bunny Kisses Shea Butter Bar,6,36
11/1/2021,Chocolate Bunny Exfoliating Scrub,10,25
11/1/2021,Eggcellent Citrus Splash Soap,1.25,6
11/1/2021,Hot Cross Bun & Honey Almond Soap,2,33
11/1/2021,Sunshine Bunny Honey Soap,4,38
12/1/2021,Bunny Kisses Shea Butter Bar,6,22
12/1/2021,Chocolate Bunny Exfoliating Scrub,10,4
12/1/2021,Spring Meadow Goat Milk Soap,3.75,14
12/1/2021,Sunshine Bunny Honey Soap,4,18
13/1/2021,Bunny Kisses Shea Butter Bar,6,13
13/1/2021,Eggcellent Citrus Splash Soap,1.25,8
13/1/2021,Lavender Fields Bunny Soap,2.5,29
13/1/2021,Spring Meadow Goat Milk Soap,3.75,25
13/1/2021,Springtime Blossom Handmade Soap,3,14
14/1/2021,Bunny Kisses Shea Butter Bar,6,12
14/1/2021,Chocolate Bunny Exfoliating Scrub,10,23
14/1/2021,Lavender Fields Bunny Soap,2.5,3
14/1/2021,Spring Meadow Goat Milk Soap,3.75,3
14/1/2021,Sunshine Bunny Honey Soap,4,9
15/1/2021,Chocolate Bunny Exfoliating Scrub,10,20
15/1/2021,Hot Cross Bun & Honey Almond Soap,2,8
15/1/2021,Lavender Fields Bunny Soap,2.5,22
15/1/2021,Springtime Blossom Handmade Soap,3,32
16/1/2021,Bunny Kisses Shea Butter Bar,6,3
16/1/2021,Chocolate Bunny Exfoliating Scrub,10,24
16/1/2021,Hot Cross Bun & Honey Almond Soap,2,13
16/1/2021,Spring Meadow Goat Milk Soap,3.75,22
16/1/2021,Springtime Blossom Handmade Soap,3,12
16/1/2021,Sunshine Bunny Honey Soap,4,13
17/1/2021,Bunny Kisses Shea Butter Bar,6,18
17/1/2021,Chocolate Bunny Exfoliating Scrub,10,12
17/1/2021,Lavender Fields Bunny Soap,2.5,11
17/1/2021,Spring Meadow Goat Milk Soap,3.75,7
17/1/2021,Sunshine Bunny Honey Soap,4,31
18/1/2021,Bunny Kisses Shea Butter Bar,6,21
18/1/2021,Hot Cross Bun & Honey Almond Soap,2,25
18/1/2021,Lavender Fields Bunny Soap,2.5,23
18/1/2021,Spring Meadow Goat Milk Soap,3.75,22
18/1/2021,Springtime Blossom Handmade Soap,3,20
18/1/2021,Sunshine Bunny Honey Soap,4,25
19/1/2021,Bunny Kisses Shea Butter Bar,6,23
19/1/2021,Chocolate Bunny Exfoliating Scrub,10,27
19/1/2021,Hot Cross Bun & Honey Almond Soap,2,6
19/1/2021,Lavender Fields Bunny Soap,2.5,26
20/1/2021,Chocolate Bunny Exfoliating Scrub,10,28
20/1/2021,Lavender Fields Bunny Soap,2.5,19
21/1/2021,Bunny Kisses Shea Butter Bar,6,20
21/1/2021,Lavender Fields Bunny Soap,2.5,21
21/1/2021,Sunshine Bunny Honey Soap,4,30
22/1/2021,Bunny Kisses Shea Butter Bar,6,4
22/1/2021,Chocolate Bunny Exfoliating Scrub,10,28
22/1/2021,Hot Cross Bun & Honey Almond Soap,2,5
22/1/2021,Lavender Fields Bunny Soap,2.5,6
22/1/2021,Spring Meadow Goat Milk Soap,3.75,13
22/1/2021,Springtime Blossom Handmade Soap,3,32
23/1/2021,Chocolate Bunny Exfoliating Scrub,10,3
23/1/2021,Hot Cross Bun & Honey Almond Soap,2,27
23/1/2021,Springtime Blossom Handmade Soap,3,19
23/1/2021,Sunshine Bunny Honey Soap,4,21
24/1/2021,Bunny Kisses Shea Butter Bar,6,16
24/1/2021,Hot Cross Bun & Honey Almond Soap,2,24
24/1/2021,Sunshine Bunny Honey Soap,4,13
25/1/2021,Chocolate Bunny Exfoliating Scrub,10,24
25/1/2021,Hot Cross Bun & Honey Almond Soap,2,35
25/1/2021,Springtime Blossom Handmade Soap,3,9
25/1/2021,Sunshine Bunny Honey Soap,4,6
26/1/2021,Bunny Kisses Shea Butter Bar,6,3
26/1/2021,Hot Cross Bun & Honey Almond Soap,2,34
26/1/2021,Lavender Fields Bunny Soap,2.5,31
26/1/2021,Sunshine Bunny Honey Soap,4,33
27/1/2021,Bunny Kisses Shea Butter Bar,6,3
27/1/2021,Chocolate Bunny Exfoliating Scrub,10,15
27/1/2021,Hot Cross Bun & Honey Almond Soap,2,25
27/1/2021,Lavender Fields Bunny Soap,2.5,25
27/1/2021,Springtime Blossom Handmade Soap,3,34
27/1/2021,Sunshine Bunny Honey Soap,4,4
28/1/2021,Bunny Kisses Shea Butter Bar,6,15
28/1/2021,Chocolate Bunny Exfoliating Scrub,10,3
28/1/2021,Hot Cross Bun & Honey Almond Soap,2,9
28/1/2021,Lavender Fields Bunny Soap,2.5,32
29/1/2021,Bunny Kisses Shea Butter Bar,6,26
29/1/2021,Chocolate Bunny Exfoliating Scrub,10,20
29/1/2021,Hot Cross Bun & Honey Almond Soap,2,8
30/1/2021,Bunny Kisses Shea Butter Bar,6,34
30/1/2021,Chocolate Bunny Exfoliating Scrub,10,29
30/1/2021,Lavender Fields Bunny Soap,2.5,30
30/1/2021,Springtime Blossom Handmade Soap,3,13
31/1/2021,Chocolate Bunny Exfoliating Scrub,10,34
31/1/2021,Hot Cross Bun & Honey Almond Soap,2,18
31/1/2021,Lavender Fields Bunny Soap,2.5,34
31/1/2021,Springtime Blossom Handmade Soap,3,7
31/1/2021,Sunshine Bunny Honey Soap,4,33
1/2/2021,Bunny Kisses Shea Butter Bar,6,31
1/2/2021,Chocolate Bunny Exfoliating Scrub,10,17
1/2/2021,Hot Cross Bun & Honey Almond Soap,2,19
1/2/2021,Lavender Fields Bunny Soap,2.5,23
1/2/2021,Sunshine Bunny Honey Soap,4,26
2/2/2021,Bunny Kisses Shea Butter Bar,6,16
2/2/2021,Chocolate Bunny Exfoliating Scrub,10,3
2/2/2021,Springtime Blossom Handmade Soap,3,23
2/2/2021,Sunshine Bunny Honey Soap,4,26
3/2/2021,Bunny Kisses Shea Butter Bar,6,3
3/2/2021,Hot Cross Bun & Honey Almond Soap,2,35
3/2/2021,Lavender Fields Bunny Soap,2.5,4
3/2/2021,Sunshine Bunny Honey Soap,4,20
4/2/2021,Bunny Kisses Shea Butter Bar,6,20
4/2/2021,Chocolate Bunny Exfoliating Scrub,10,36
4/2/2021,Lavender Fields Bunny Soap,2.5,9
4/2/2021,Springtime Blossom Handmade Soap,3,16
4/2/2021,Sunshine Bunny Honey Soap,4,7
5/2/2021,Lavender Fields Bunny Soap,2.5,14
5/2/2021,Springtime Blossom Handmade Soap,3,24
6/2/2021,Chocolate Bunny Exfoliating Scrub,10,5
6/2/2021,Springtime Blossom Handmade Soap,3,13
7/2/2021,Lavender Fields Bunny Soap,2.5,32
7/2/2021,Sunshine Bunny Honey Soap,4,23
8/2/2021,Chocolate Bunny Exfoliating Scrub,10,12
8/2/2021,Lavender Fields Bunny Soap,2.5,37
8/2/2021,Springtime Blossom Handmade Soap,3,5
8/2/2021,Sunshine Bunny Honey Soap,4,26
9/2/2021,Lavender Fields Bunny Soap,2.5,8
9/2/2021,Springtime Blossom Handmade Soap,3,14
10/2/2021,Bunny Kisses Shea Butter Bar,6,13
10/2/2021,Lavender Fields Bunny Soap,2.5,22
10/2/2021,Springtime Blossom Handmade Soap,3,18
11/2/2021,Lavender Fields Bunny Soap,2.5,5
12/2/2021,Lavender Fields Bunny Soap,2.5,38
12/2/2021,Springtime Blossom Handmade Soap,3,18
12/2/2021,Sunshine Bunny Honey Soap,4,13
13/2/2021,Bunny Kisses Shea Butter Bar,6,17
13/2/2021,Lavender Fields Bunny Soap,2.5,4
13/2/2021,Sunshine Bunny Honey Soap,4,18
14/2/2021,Lavender Fields Bunny Soap,2.5,25
14/2/2021,Sunshine Bunny Honey Soap,4,24
15/2/2021,Springtime Blossom Handmade Soap,3,21
15/2/2021,Sunshine Bunny Honey Soap,4,20
16/2/2021,Lavender Fields Bunny Soap,2.5,36
16/2/2021,Springtime Blossom Handmade Soap,3,10
17/2/2021,Bunny Kisses Shea Butter Bar,6,16
17/2/2021,Springtime Blossom Handmade Soap,3,18
17/2/2021,Sunshine Bunny Honey Soap,4,14
18/2/2021,Bunny Kisses Shea Butter Bar,6,34
18/2/2021,Lavender Fields Bunny Soap,2.5,4
18/2/2021,Sunshine Bunny Honey Soap,4,17
19/2/2021,Lavender Fields Bunny Soap,2.5,5
