Year,Champions,Runners_up,Score_2
1913,"Hope Crisp
Agnes Tuckey","James Cecil Parke
Ethel Larcombe","3–6, 5–3 retired"
1914,"James Cecil Parke
Ethel Larcombe","Anthony Wilding
Marguerite Broquedis","4–6, 6–4, 6–2"
1915,No competition (due to World War I),,
1916,,,
1917,,,
1918,,,
1919,"Randolph Lycett
Elizabeth Ryan","Albert Prebble
Dorothea Lambert Chambers","6–0, 6–0"
1920,"Gerald Patterson
Suzanne Lenglen","Randolph Lycett
Elizabeth Ryan","7–5, 6–3"
1921,"Randolph Lycett(2)
Elizabeth Ryan(2)","Max Woosnam
Phyllis Howkins","6–3, 6–1"
1922,"Pat O'Hara Wood
Suzanne Lenglen(2)","Randolph Lycett
Elizabeth Ryan","6–4, 6–3"
1923,"Randolph Lycett(3)
Elizabeth Ryan(3)","Lewis Deane
Dorothy Shepherd-Barron","6–4, 7–5"
1924,"Brian Gilbert
Kitty McKane","Leslie Godfree
Dorothy Shepherd-Barron","6–3, 3–6, 6–3"
1925,"Jean Borotra
Suzanne Lenglen(3)","Uberto de Morpurgo
Elizabeth Ryan","6–3, 6–3"
1926,"Leslie Godfree
Kitty Godfree(2)","Howard Kinsey
Mary Browne","6–3, 6–4"
1927,"Francis Hunter
Elizabeth Ryan(4)","Leslie Godfree
Kitty Godfree","8–6, 6–0"
1928,"Pat Spence
Elizabeth Ryan(5)","Jack Crawford
Daphne Akhurst","7–5, 6–4"
1929,"Francis Hunter(2)
Helen Moody","Ian Collins
Joan Fry","6–1, 6–4"
1930,"Jack Crawford
Elizabeth Ryan(6)","Daniel Prenn
Hilde Krahwinkel Sperling","6–1, 6–3"
1931,"George Lott
Anna Harper","Ian Collins
Joan Ridley","6–3, 1–6, 6–1"
1932,"Enrique Maier
Elizabeth Ryan(7)","Harry Hopman
Josane Sigart","7–5, 6–2"
1933,"Gottfried von Cramm
Hilde Krahwinkel","Norman Farquharson
Mary Heeley","7–5, 8–6"
1934,"Ryuki Miki
Dorothy Round","Bunny Austin
Dorothy Shepherd-Barron","3–6, 6–4, 6–0"
1935,"Fred Perry
Dorothy Round(2)","Harry Hopman
Nell Hopman","7–5, 4–6, 6–2"
1936,"Fred Perry(2)
Dorothy Round(3)","Don Budge
Sarah Fabyan","7–9, 7–5, 6–4"
1937,"Don Budge
Alice Marble","Yvon Petra
Simonne Mathieu","6–4, 6–1"
1938,"Don Budge(2)
Alice Marble(2)","Henner Henkel
Sarah Palfrey Cooke","6–1, 6–4"
1939,"Bobby Riggs
Alice Marble(3)","Frank Wilde
Nina Brown","9–7, 6–1"
1940,No competition (due to World War II),,
1941,,,
1942,,,
1943,,,
1944,,,
1945,,,
1946,"Tom Brown
Louise Brough","Geoff Brown
Dorothy Bundy","6–4, 6–4"
1947,"John Bromwich
Louise Brough(2)","Colin Long
Nancye Bolton","1–6, 6–4, 6–2"
1948,"John Bromwich(2)
Louise Brough(3)","Frank Sedgman
Doris Hart","6–2, 3–6, 6–3"
1949,"Eric Sturgess
Sheila Summers","John Bromwich
Louise Brough","9–7, 9–11, 7–5"
1950,"Eric Sturgess(2)
Louise Brough(4)","Geoff Brown
Patricia Todd","11–9, 1–6, 6–4"
1951,"Frank Sedgman
Doris Hart","Mervyn Rose
Nancye Bolton","7–5, 6–2"
1952,"Frank Sedgman(2)
Doris Hart(2)","Enrique Morea
Thelma Long","4–6, 6–3, 6–4"
1953,"Vic Seixas
Doris Hart(3)","Enrique Morea
Shirley Fry","9–7, 7–5"
1954,"Vic Seixas(2)
Doris Hart(4)","Ken Rosewall
Margaret duPont","5–7, 6–4, 6–3"
1955,"Vic Seixas(3)
Doris Hart(5)","Enrique Morea
Louise Brough","8–6, 2–6, 6–3"
1956,"Vic Seixas(4)
Shirley Fry","Gardnar Mulloy
Althea Gibson","2–6, 6–2, 7–5"
