year,men,women
1877,Spencer W. Gore (U.K.),
1878,Frank Hadow (U.K.),
1879,John T. Hartley (U.K.),
1880,John T. Hartley (U.K.),
1881,Willie Renshaw (U.K.),
1882,Willie Renshaw (U.K.),
1883,Willie Renshaw (U.K.),
1884,Willie Renshaw (U.K.),Maud Watson (U.K.)
1885,Willie Renshaw (U.K.),Maud Watson (U.K.)
1886,Willie Renshaw (U.K.),Blanche Bingley (U.K.)
1887,Herbert Lawford (U.K.),Charlotte Dod (U.K.)
1888,Ernest Renshaw (U.K.),Charlotte Dod (U.K.)
1889,Willie Renshaw (U.K.),Blanche Bingley Hillyard (U.K.)
1890,Wiloby Hamilton (U.K.),Helena Rice (U.K.)
1891,Wilifred Baddeley (U.K.),Charlotte Dod (U.K.)
1892,Wilifred Baddeley (U.K.),Charlotte Dod (U.K.)
1893,Joshua Pim (U.K.),Charlotte Dod (U.K.)
1894,Joshua Pim (U.K.),Blanche Hillyard (U.K.)
1895,Wilifred Baddeley (U.K.),Charlotte Cooper (U.K.)
1896,Harold Mahony (U.K.),Charlotte Cooper (U.K.)
1897,Reggie Doherty (U.K.),Blanche Hillyard (U.K.)
1898,Reggie Doherty (U.K.),Charlotte Cooper (U.K.)
1899,Reggie Doherty (U.K.),Blanche Hillyard (U.K.)
1900,Reggie Doherty (U.K.),Blanche Hillyard (U.K.)
1901,Arthur Gore (U.K.),Charlotte Cooper Sterry (U.K.)
1902,Laurie Doherty (U.K.),Muriel Robb (U.K.)
1903,Laurie Doherty (U.K.),Dorothea Douglass (U.K.)
1904,Laurie Doherty (U.K.),Dorothea Douglass (U.K.)
1905,Laurie Doherty (U.K.),May Sutton (U.S.)
1906,Laurie Doherty (U.K.),Dorothea Douglass (U.K.)
1907,Norman Brookes (Austl.),May Sutton (U.S.)
1908,Arthur Gore (U.K.),Charlotte Cooper Sterry (U.K.)
1909,Arthur Gore (U.K.),Dora Boothby (U.K.)
1910,Tony Wilding (N.Z.),Dorothea Douglass Lambert Chambers (U.K.)
1911,Tony Wilding (N.Z.),Dorothea Douglass Lambert Chambers (U.K.)
1912,Tony Wilding (N.Z.),Ethel Larcombe (U.K.)
1913,Tony Wilding (N.Z.),Dorothea Douglass Lambert Chambers (U.K.)
1914,Norman Brookes (Austl.),Dorothea Douglass Lambert Chambers (U.K.)
1915–181,not held,
1919,Gerald Patterson (Austl.),Suzanne Lenglen (France)
1920,Bill Tilden (U.S.),Suzanne Lenglen (France)
1921,Bill Tilden (U.S.),Suzanne Lenglen (France)
1922,Gerald Patterson (Austl.),Suzanne Lenglen (France)
1923,Bill Johnston (U.S.),Suzanne Lenglen (France)
1924,Jean Borotra (France),Kitty McKane (U.K.)
1925,René Lacoste (France),Suzanne Lenglen (France)
1926,Jean Borotra (France),Kitty McKane Godfree (U.K.)
1927,Henri Cochet (France),Helen Wills (U.S.)
1928,René Lacoste (France),Helen Wills (U.S.)
1929,Henri Cochet (France),Helen Wills (U.S.)
1930,Bill Tilden (U.S.),Helen Wills Moody (U.S.)
1931,Sidney Wood (U.S.),Cilly Aussem (Ger.)
1932,Ellsworth Vines (U.S.),Helen Wills Moody (U.S.)
1933,Jack Crawford (Austl.),Helen Wills Moody (U.S.)
1934,Fred Perry (U.K.),Dorothy Round (U.K.)
1935,Fred Perry (U.K.),Helen Wills Moody (U.S.)
1936,Fred Perry (U.K.),Helen Jacobs (U.S.)
1937,Don Budge (U.S.),Dorothy Round (U.K.)
1938,Don Budge (U.S.),Helen Wills Moody (U.S.)
1939,Bobby Riggs (U.S.),Alice Marble (U.S.)
1940–452,not held,
1946,Yvon Petra (France),Pauline Betz (U.S.)
1947,Jack Kramer (U.S.),Margaret Osborne (U.S.)
1948,Bob Falkenburg (U.S.),Louise Brough (U.S.)
1949,Ted Schroeder (U.S.),Louise Brough (U.S.)
1950,Budge Patty (U.S.),Louise Brough (U.S.)
1951,Dick Savitt (U.S.),Doris Hart (U.S.)
1952,Frank Sedgman (Austl.),Maureen Connolly (U.S.)
1953,Viv Seixas (U.S.),Maureen Connolly (U.S.)
1954,Jaroslav Drobny (Czech.),Maureen Connolly (U.S.)
1955,Tony Trabert (U.S.),Louise Brough (U.S.)
1956,Lew Hoad (Austl.),Shirley Fry (U.S.)
1957,Lew Hoad (Austl.),Althea Gibson (U.S.)
1958,Ashley Cooper (Austl.),Althea Gibson (U.S.)
1959,Alejandro Olmedo (Peru),Maria Bueno (Braz.)
1960,Neale Fraser (Austl.),Maria Bueno (Braz.)
1961,Rod Laver (Austl.),Angela Mortimer (U.K.)
