StaffID,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
1533,2398.00,2421.98,2446.20,2446.20,2495.12,2495.12,2495.12,2495.12,2545.03,2621.38,2621.38,2621.38
1339,7304.00,7523.12,7673.58,7673.58,7750.32,7827.82,8062.66,8304.54,8470.63,8555.33,8555.33,8726.44
2291,8240.00,8404.80,8572.90,8744.35,8831.80,9096.75,9278.69,9464.26,9464.26,9464.26,9558.90,9558.90
2038,3908.00,3986.16,3986.16,4026.02,4066.28,4188.27,4313.92,4443.34,4487.77,4622.40,4668.63,4715.31
2810,3988.00,4107.64,4148.72,4190.20,4274.01,4316.75,4316.75,4359.92,4490.71,4535.62,4671.69,4718.41
1001,12518.00,12518.00,12893.54,13151.41,13545.95,13681.41,14091.86,14514.61,14950.05,14950.05,14950.05,15099.55
2536,6135.00,6196.35,6382.24,6509.89,6640.08,6706.48,6907.68,6907.68,6976.76,6976.76,7116.29,7329.78
2943,2553.00,2604.06,2682.18,2762.65,2790.27,2790.27,2846.08,2903.00,2961.06,3020.28,3050.48,3050.48
2475,6426.00,6618.78,6618.78,6817.34,6885.52,6885.52,7092.08,7304.84,7377.89,7451.67,7600.71,7676.71
1520,12645.00,12897.90,13155.86,13418.98,13553.16,13688.70,13688.70,13825.58,14240.35,14240.35,14667.56,14667.56
1081,13378.00,13511.78,13511.78,13511.78,13646.90,13783.37,13921.20,14060.41,14482.22,14916.69,14916.69,15065.86
1445,11996.00,12115.96,12237.12,12359.49,12359.49,12359.49,12606.68,12984.88,12984.88,12984.88,13114.73,13508.17
2512,13311.00,13577.22,13984.54,13984.54,13984.54,13984.54,13984.54,14124.38,14406.87,14406.87,14695.01,14841.96
1519,8322.00,8322.00,8571.66,8657.38,8657.38,8917.10,9006.27,9186.39,9461.99,9651.23,9844.25,9844.25
1470,11998.00,12237.96,12482.72,12732.37,13114.34,13507.78,13507.78,13777.93,13777.93,13777.93,14191.27,14475.09
2309,14288.00,14430.88,14863.81,15012.44,15012.44,15012.44,15162.57,15617.45,15773.62,15931.36,16409.30,16737.48
2453,1384.00,1425.52,1439.78,1468.57,1483.26,1483.26,1483.26,1498.09,1513.07,1558.46,1589.63,1621.42
2009,8113.00,8113.00,8113.00,8356.39,8356.39,8439.95,8439.95,8439.95,8524.35,8524.35,8609.60,8609.60
1680,10239.00,10239.00,10443.78,10548.22,10864.66,10973.31,11083.04,11415.54,11758.00,11758.00,12110.74,12231.85
2319,10252.00,10559.56,10770.75,10770.75,10770.75,10770.75,10986.17,11315.75,11542.07,11542.07,11657.49,11657.49
1321,7637.00,7713.37,7713.37,7867.64,8024.99,8024.99,8265.74,8431.05,8515.37,8600.52,8600.52,8858.53
1874,14650.00,14650.00,14796.50,14944.47,15392.80,15854.58,16171.67,16171.67,16656.82,16989.96,17499.66,17674.66
1060,2579.00,2579.00,2579.00,2579.00,2630.58,2630.58,2709.50,2736.59,2818.69,2903.25,2932.28,2961.61
1085,2054.00,2074.54,2116.03,2179.51,2223.10,2223.10,2223.10,2245.33,2312.69,2382.07,2429.72,2478.31
2732,10033.00,10233.66,10540.67,10540.67,10751.48,10966.51,11185.84,11409.56,11637.75,11754.13,11989.21,12109.10
2012,9115.00,9206.15,9390.27,9390.27,9578.08,9769.64,9965.03,10263.98,10469.26,10573.96,10679.70,10786.49
1334,14701.00,14701.00,14848.01,15144.97,15144.97,15599.32,15911.31,15911.31,16229.53,16554.12,16554.12,16719.66
2029,12705.00,12959.10,13347.87,13481.35,13616.17,13888.49,14166.26,14307.92,14737.16,14884.53,15182.22,15485.87
2677,12826.00,12954.26,13083.80,13476.32,13476.32,13745.84,13745.84,14020.76,14020.76,14160.97,14302.58,14445.60
1293,2323.00,2323.00,2392.69,2464.47,2464.47,2489.12,2563.79,2563.79,2589.43,2667.11,2667.11,2667.11
2078,13361.00,13761.83,14037.07,14317.81,14747.34,14747.34,14894.82,15192.71,15192.71,15192.71,15192.71,15192.71
1989,10725.00,10832.25,10832.25,11048.90,11269.87,11495.27,11610.22,11726.33,11843.59,11962.02,11962.02,12320.89
1845,6569.00,6634.69,6833.73,6902.07,6902.07,6902.07,7040.11,7180.91,7324.53,7324.53,7471.02,7471.02
2747,13657.00,13930.14,14069.44,14069.44,14210.14,14210.14,14494.34,14494.34,14929.17,14929.17,15227.75,15380.03
1777,9378.00,9659.34,9659.34,9659.34,9755.93,10048.61,10149.10,10453.57,10767.18,10982.52,11202.17,11314.19
1730,6091.00,6273.73,6336.47,6526.56,6591.83,6657.75,6657.75,6790.90,6994.63,7134.52,7134.52,7277.21
1910,11771.00,12124.13,12366.61,12613.94,12613.94,12613.94,12992.36,13382.13,13649.78,13922.77,14062.00,14202.62
1342,5358.00,5358.00,5518.74,5573.93,5685.41,5742.26,5857.11,5915.68,5974.83,6154.08,6154.08,6277.16
2585,10846.00,11062.92,11284.18,11397.02,11624.96,11624.96,11624.96,11624.96,11741.21,11976.03,12335.32,12582.02
2315,3606.00,3642.06,3642.06,3751.32,3751.32,3788.84,3864.61,3980.55,3980.55,4099.97,4099.97,4222.97
2178,7705.00,7936.15,8094.87,8256.77,8504.47,8759.61,8847.20,9112.62,9386.00,9386.00,9573.72,9765.19
1595,3048.00,3139.44,3170.83,3170.83,3265.96,3265.96,3363.94,3464.86,3534.15,3604.84,3712.98,3787.24
