flight_number,flight_Date,customer_ID,action,date,class,plane_row,seat
PA001,5/3/2024,000000020,Booked,1/12/2023,First,7,3
PA001,5/3/2024,000000020,Cancelled,24/12/2023,,,
PA001,5/3/2024,000000072,Booked,25/12/2023,First,8,2
PA001,5/3/2024,000000082,Booked,31/1/2024,First,5,2
PA001,5/3/2024,000000190,Booked,7/1/2024,Business,12,3
PA001,5/3/2024,000000190,Upgraded,31/1/2024,First,5,3
PA001,5/3/2024,000000190,Seat Changed,28/2/2024,First,3,4
PA001,5/3/2024,000000228,Booked,15/12/2023,Business,11,3
PA001,5/3/2024,000000228,Upgraded,2/1/2024,First,7,2
PA001,5/3/2024,000000253,Booked,4/1/2024,Business,14,4
PA001,5/3/2024,000000253,Seat Changed,20/1/2024,Business,18,2
PA001,5/3/2024,000000253,Cancelled,16/2/2024,,,
PA001,5/3/2024,000000324,Booked,8/11/2023,Business,14,2
PA001,5/3/2024,000000324,Upgraded,3/12/2023,First,7,2
PA001,5/3/2024,000000324,Cancelled,22/12/2023,,,
PA001,5/3/2024,000000326,Booked,19/1/2024,First,1,3
PA001,5/3/2024,000000326,Cancelled,26/1/2024,,,
PA001,5/3/2024,000000330,Booked,12/1/2024,Business,11,1
PA001,5/3/2024,000000330,Seat Changed,13/2/2024,Business,9,1
PA001,5/3/2024,000000903,Booked,10/12/2023,First,3,3
PA001,5/3/2024,000000903,Cancelled,4/1/2024,,,
PA001,5/3/2024,000001027,Booked,21/11/2023,Business,11,2
PA001,5/3/2024,000001027,Seat Changed,12/12/2023,Business,16,4
PA001,5/3/2024,000001349,Booked,25/1/2024,First,1,4
PA001,5/3/2024,000001349,Cancelled,26/2/2024,,,
PA001,5/3/2024,000001454,Booked,16/12/2023,First,4,4
PA001,5/3/2024,000001454,Cancelled,14/1/2024,,,
PA001,5/3/2024,000001702,Booked,16/1/2024,Business,18,2
PA001,5/3/2024,000001702,Cancelled,24/1/2024,,,
PA001,5/3/2024,000001914,Booked,26/1/2024,First,2,4
PA001,5/3/2024,000001914,Seat Changed,1/3/2024,First,5,2
PA001,5/3/2024,000002271,Booked,24/1/2024,First,4,1
PA001,5/3/2024,000002296,Booked,22/1/2024,Business,11,3
PA001,5/3/2024,000002296,Seat Changed,22/2/2024,Business,9,3
PA001,5/3/2024,000002304,Booked,21/11/2023,First,4,1
PA001,5/3/2024,000002304,Seat Changed,4/1/2024,First,7,1
PA001,5/3/2024,000002304,Cancelled,9/2/2024,,,
PA001,5/3/2024,000002374,Booked,6/12/2023,Business,10,4
PA001,5/3/2024,000002374,Seat Changed,18/12/2023,Business,15,4
PA001,5/3/2024,000002374,Seat Changed,19/1/2024,Business,11,4
PA001,5/3/2024,000002374,Cancelled,18/2/2024,,,
PA001,5/3/2024,000003111,Booked,24/11/2023,Business,9,3
PA001,5/3/2024,000003111,Seat Changed,31/12/2023,Business,14,2
PA001,5/3/2024,000003181,Booked,24/12/2023,First,4,2
PA001,5/3/2024,000003181,Seat Changed,27/1/2024,First,8,4
PA001,5/3/2024,000003413,Booked,3/2/2024,Business,17,3
PA001,5/3/2024,000003413,Cancelled,19/2/2024,,,
PA001,5/3/2024,000003514,Booked,29/1/2024,Business,11,2
PA001,5/3/2024,000003514,Seat Changed,10/2/2024,Business,16,1
PA001,5/3/2024,000003591,Booked,12/1/2024,Business,9,1
PA001,5/3/2024,000003591,Upgraded,24/1/2024,First,3,2
PA001,5/3/2024,000003632,Booked,10/12/2023,Business,12,3
PA001,5/3/2024,000003632,Seat Changed,29/12/2023,Business,11,2
PA001,5/3/2024,000003830,Booked,11/12/2023,First,2,1
PA001,5/3/2024,000003830,Cancelled,5/1/2024,,,
PA001,5/3/2024,000003898,Booked,3/12/2023,Business,10,3
PA001,5/3/2024,000003898,Seat Changed,30/12/2023,Business,10,3
PA001,5/3/2024,000003898,Cancelled,14/1/2024,,,
PA001,5/3/2024,000004122,Booked,20/11/2023,First,6,3
